root_url,wget_url,target_ip,wget_url_size(KB),rtt(ms),bandwidth(Kbps)
https://translate.google.com,https://translate.google.com,142.251.167.101,2570,1,141600
https://www.ilmessaggero.it,https://www.ilmessaggero.it,34.149.236.87,571,0,12080
https://ngl.link,https://ngl.link,104.22.79.252,797,0,681600
https://news.sky.com,https://news.sky.com,23.214.230.86,375,1,348800
https://sante.journaldesfemmes.fr,https://sante.journaldesfemmes.fr,23.9.169.17,238,1,133600
https://toonkor436.com,https://toonkor436.com,172.67.168.220,6274,1,42160
https://vtcnews.vn,https://vtcnews.vn,58.187.90.156,156,235,2624
https://www.leggo.it,https://www.leggo.it,34.149.236.87,453,0,9600
https://id.scribd.com,https://id.scribd.com,146.75.30.152,970,1,785600
https://looti.org,https://looti.org,178.32.126.109,131,84,6472
https://itest.5ch.net,https://itest.5ch.net,172.67.5.194,230,0,11200
https://zistop.com,https://zistop.com,67.213.221.116,1259,7,224800
https://www.fotogramas.es,https://www.fotogramas.es,146.75.28.200,460,1,605600
https://aws.amazon.com,https://aws.amazon.com,99.84.191.123,1007,0,757600
https://kobieta.onet.pl,https://kobieta.onet.pl,18.67.76.60,209,0,210400
https://www.yelp.com,https://www.yelp.com,146.75.28.116,385,0,233600
https://myasiantv.ac,https://myasiantv.ac,172.67.73.22,112,0,8160
https://www.carfax.com,https://www.carfax.com/chp-mainassets/_next/static/chunks/framework-ecc4130bc7a58a64.js,52.84.150.50,137,6,58080
https://www.paris.cl,https://www.paris.cl,104.19.128.97,792,0,233600
https://www.typing.com,https://www.typing.com/dist/site_typing/images/hero/hero-image-combined.png,104.18.173.119,1180,0,370400
https://www.gunbroker.com,https://www.gunbroker.com,172.64.152.34,163,0,381600
https://www.livesport.com,https://www.livesport.com,34.120.185.22,101,0,137600
https://www.portalbrasil.net,https://www.portalbrasil.net,172.67.186.89,138,0,377600
https://www.vedantu.com,https://www.vedantu.com,108.138.64.3,324,0,499200
https://m.malaysiakini.com,https://m.malaysiakini.com,172.67.26.54,184,1,369600
https://nowiny24.pl,https://nowiny24.pl,104.18.6.205,694,0,13120
https://queropassagem.com.br,https://queropassagem.com.br/images/banner_download_app.png,34.111.80.7,281,0,4928
https://tg24.sky.it,https://tg24.sky.it,96.6.42.216,601,0,293600
https://www.loteriasyapuestas.es,https://www.loteriasyapuestas.es,23.9.174.65,112,1,20720
https://manhuaplus.org,https://manhuaplus.org,104.21.41.211,114,1,177600
