alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
7, 13, [13 16], [0 7], [-10.025364  33.128162], 2
8, 10, [10 11  7], [4 8 8], [-12.546356  28.918068  33.080494], 3
0, 1, [ 1 15 11], [2 6 0], [-20.405735  15.933346  33.0929  ], 3
1, 11, [11], [1], [33.101105], 1
9, 5, [5], [9], [33.031963], 1
4, 6, [6], [4], [33.145763], 1
1, 14, [14], [1], [33.076813], 1
8, 6, [ 6 16], [4 8], [-9.974251 33.135227], 2
5, 11, [11], [5], [33.078354], 1
0, 12, [12 14], [0 0], [32.889084 33.066467], 2
4, 10, [10 16], [4 4], [33.00834  33.171947], 2
5, 4, [ 4 11 16], [5 5 5], [30.436459 28.965786 33.143475], 3
6, 12, [12 16], [0 6], [-10.067272  33.13956 ], 2
12, 11, [11], [12], [33.0617], 1
0, 13, [13], [0], [33.098587], 1
9, 15, [15  6], [9 9], [32.951103 33.109825], 2
12, 14, [14], [12], [33.053223], 1
9, 3, [3 6], [9 9], [32.897224 33.10873 ], 2
10, 15, [15], [10], [33.08308], 1

1, 7, [7], [1], [33.078766], 1
8, 15, [15  9 13], [8 8 8], [30.44196  28.913929 33.108   ], 3
2, 14, [14], [2], [33.066666], 1
10, 4, [4], [10], [33.06983], 1
6, 7, [7], [6], [33.07239], 1
3, 12, [12  6], [2 3], [-10.0792465  33.118248 ], 2
3, 1, [ 1 13], [2 3], [-10.106998  33.09906 ], 2
9, 1, [1], [9], [33.046432], 1
11, 3, [3], [11], [33.03121], 1
5, 8, [8], [5], [33.108593], 1
3, 15, [15 13], [0 3], [-10.061893  33.098907], 2
8, 2, [2], [8], [33.05927], 1
12, 14, [14], [12], [33.053223], 1
8, 16, [16], [8], [33.138187], 1
6, 4, [4 2], [6 6], [32.914146 33.094162], 2
4, 3, [ 3 12], [8 4], [-10.146673  33.044643], 2
10, 16, [16 15], [10 10], [32.972984 33.08204 ], 2
1, 10, [10], [1], [33.111298], 1
0, 12, [12  9 11], [6 5 0], [-20.408749  15.903038  33.0927  ], 3
12, 14, [14], [12], [33.053234], 1
4, 9, [ 9 11], [8 4], [-10.099674  33.08564 ], 2
8, 8, [8], [8], [33.089542], 1
8, 14, [14 10 15 16 13], [8 4 8 4 8], [14.29605    2.0530891  9.917145   8.034558  33.10822  ], 5
7, 2, [ 2 14  3 15 13  2], [5 5 0 5 0 7], [-37.240025  -12.163441  -13.707542   -9.562803    3.9377518  33.06704  ], 6
7, 4, [ 4  8  2 10  7 15 16], [6 0 7 5 0 5 7], [-35.096054   -8.589795   -7.81005   -21.479166  -15.947644   -0.0440464
  33.13016  ], 7
11, 12, [12], [11], [33.051064], 1
11, 7, [7], [11], [33.072678], 1
12, 16, [16], [12], [33.126556], 1
1, 15, [15], [1], [33.06324], 1
9, 14, [14], [9], [33.066277], 1
4, 12, [12  2], [4 4], [32.88429 33.06046], 2
3, 12, [12 16], [3 3], [32.952194 33.17865 ], 2

8, 3, [3 2], [4 8], [-10.138279  33.05916 ], 2
4, 6, [6], [4], [33.146084], 1
3, 14, [14], [3], [33.065628], 1
7, 5, [ 5 15  7 16], [7 5 7 7], [19.660725 11.04693  24.95843  33.130463], 4
9, 5, [ 5 12], [11  9], [-10.132954  33.0577  ], 2
11, 15, [15  6], [11 11], [32.96386 33.11659], 2
10, 10, [10], [10], [33.081234], 1
12, 8, [8], [12], [33.093864], 1
