alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
7, 4, [ 4  7 16], [6 7 7], [-12.57267   28.953033  33.126717], 3
1, 13, [13], [1], [33.11193], 1
6, 7, [7], [6], [33.07261], 1
5, 7, [7 1], [5 5], [32.910736 33.03265 ], 2
5, 1, [ 1 11], [2 5], [-10.117846  33.079765], 2
8, 2, [2], [8], [33.05911], 1
7, 1, [ 1 15  8], [2 5 7], [-20.40996   15.926239  33.093563], 3
10, 13, [13], [10], [33.09736], 1
7, 15, [15 11  2 16], [6 7 5 7], [-20.19669   16.222204  11.930269  33.12459 ], 4
0, 2, [2 7], [0 0], [32.95448 33.08095], 2
2, 16, [16], [2], [33.14512], 1
1, 12, [12], [1], [33.04319], 1
8, 16, [16], [8], [33.13311], 1
10, 8, [8], [10], [33.086346], 1
0, 11, [11], [0], [33.088688], 1
5, 15, [15 14], [5 5], [32.903664 33.063587], 2
0, 6, [6], [0], [33.13023], 1
10, 15, [15], [10], [33.081665], 1
1, 10, [10], [1], [33.111206], 1
1, 11, [11], [1], [33.100975], 1
1, 13, [13], [1], [33.11193], 1
9, 5, [5], [9], [33.031853], 1
6, 2, [2], [6], [33.08978], 1
8, 8, [8], [8], [33.087753], 1
2, 11, [11], [2], [33.057144], 1
12, 2, [2], [12], [33.060333], 1
2, 16, [16], [2], [33.145035], 1
3, 1, [1], [3], [33.035046], 1
11, 8, [8], [11], [33.08627], 1
8, 11, [11], [8], [33.061718], 1
9, 2, [2], [9], [33.06064], 1

1, 13, [13], [1], [33.11193], 1
9, 7, [7], [9], [33.073593], 1
3, 16, [16], [3], [33.17968], 1
9, 12, [12], [9], [33.057896], 1
8, 7, [7], [8], [33.08018], 1
4, 14, [14], [4], [33.06211], 1
7, 5, [ 5 11], [5 7], [-10.13142  33.06272], 2
8, 13, [13], [8], [33.108673], 1
11, 16, [16 11], [11 11], [32.96245  33.065292], 2
0, 5, [5 8], [5 0], [-10.109209  33.10116 ], 2
6, 5, [5], [6], [33.034096], 1
8, 15, [15], [8], [33.106915], 1
4, 16, [16], [4], [33.166206], 1
2, 12, [12 14], [2 2], [32.889046 33.066723], 2
11, 4, [4], [11], [33.079037], 1
4, 10, [10 16], [8 4], [-9.990149 33.180244], 2
5, 13, [13], [5], [33.11527], 1
3, 1, [1], [3], [33.035072], 1
8, 15, [15 16], [1 8], [-10.049988  33.124817], 2
8, 11, [11], [8], [33.061245], 1
9, 1, [1], [9], [33.04626], 1
6, 7, [7], [6], [33.07265], 1
4, 15, [15 12  7], [8 4 4], [-12.552799  28.900309  33.08276 ], 3
12, 3, [3], [12], [33.033833], 1
5, 5, [5], [5], [33.02771], 1
9, 14, [14], [9], [33.066475], 1
11, 7, [7], [11], [33.07275], 1
11, 3, [3], [11], [33.031143], 1
10, 9, [9], [10], [33.055405], 1
2, 11, [11], [2], [33.057102], 1
0, 12, [12 13], [6 0], [-10.090803  33.09879 ], 2
3, 7, [7], [3], [33.09633], 1

7, 7, [7 6], [7 7], [32.956005 33.131668], 2
4, 11, [11], [4], [33.088478], 1
8, 6, [6], [8], [33.128895], 1
0, 4, [4 7], [6 0], [-10.096823  33.080063], 2
3, 9, [ 9  5 16], [6 3 3], [-12.590843  28.936047  33.1798  ], 3
7, 6, [ 6 13], [7 7], [32.98812  33.095142], 2
6, 6, [6], [6], [33.128098], 1
8, 2, [2], [8], [33.05905], 1
3, 9, [9], [3], [33.04757], 1
11, 13, [13], [11], [33.09633], 1
4, 2, [2], [4], [33.060417], 1
3, 4, [ 4 14], [5 3], [-10.104715  33.06569 ], 2
11, 4, [4], [11], [33.078873], 1
3, 16, [16], [3], [33.179604], 1
4, 9, [ 9 13], [8 4], [-10.086399  33.104805], 2
7, 9, [ 9 15 10 11], [6 5 7 7], [-23.335688  11.027955  24.929756  33.062275], 4
12, 15, [15], [12], [33.091248], 1
0, 11, [11], [0], [33.09029], 1
6, 10, [10 11], [6 6], [32.928387 33.07513 ], 2
1, 4, [4], [1], [33.055286], 1
7, 14, [14  4  1 10  2  6], [7 2 2 7 7 7], [10.258032  -4.6711364 -1.212172  11.255392  16.936825  33.132816 ], 6
0, 12, [12  7  2 13], [2 0 0 0], [-15.515461  24.057848  24.960434  33.09748 ], 4
12, 11, [11], [12], [33.06169], 1
