alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
3, 5, [ 5 16], [3 3], [32.911205 33.113625], 2
2, 5, [5 8], [6 2], [-10.067532  33.14965 ], 2
4, 7, [7], [4], [33.146805], 1
11, 6, [6], [11], [33.14653], 1
13, 10, [10], [13], [33.070477], 1
1, 3, [3], [1], [33.043976], 1
13, 6, [6], [13], [33.226204], 1
10, 1, [1], [10], [33.036938], 1
13, 13, [13], [13], [33.189354], 1
13, 10, [10], [13], [33.070473], 1
14, 5, [ 5  7 13], [ 7 12 14], [-20.286015  16.093538  33.19099 ], 3
7, 1, [ 1 10  2  1  9  8], [6 6 7 2 7 7], [-30.839045   -1.4872475   4.058856   -1.7712278  16.969208   33.2004   ], 6
5, 16, [16], [5], [33.110092], 1
13, 12, [12], [13], [33.042465], 1
6, 15, [15 14 10  8], [6 2 6 6], [19.738987 11.11018  24.9534   33.126953], 4
10, 1, [1], [10], [33.03702], 1
13, 2, [2], [13], [33.16763], 1
1, 11, [11], [1], [33.107628], 1
4, 1, [ 1 11 15 16  3  1 12], [4 4 4 8 8 4 4], [ 13.966106    1.5374441 -12.663427  -29.53801   -29.479538  -22.528954
 -25.954323 ], 7
11, 9, [9], [11], [33.04674], 1
4, 9, [9 7], [8 4], [-10.060387  33.146744], 2
8, 1, [ 1  8 14], [8 4 8], [22.672533 16.051052 33.16683 ], 3
4, 3, [3 9 2], [8 8 4], [-20.397923  15.939843  33.146126], 3
11, 6, [6], [11], [33.146862], 1
1, 6, [6], [1], [33.14515], 1

14, 6, [ 6 13  2], [12 12 14], [-20.057302  16.162415  33.27702 ], 3
0, 4, [ 4 13], [5 0], [-10.06521  33.1526 ], 2
5, 9, [ 9  1 14], [7 6 5], [-20.381168  15.946049  33.156143], 3
9, 9, [9], [9], [33.04503], 1
0, 3, [ 3 14 15  8 11], [6 3 0 0 0], [-25.89281    6.767918  17.687979  21.01545   33.108032], 5
14, 3, [ 3 10], [ 7 14], [-10.046024  33.168453], 2
4, 9, [ 9 16 11], [4 4 4], [30.45897  29.00826  33.127914], 3
6, 3, [ 3 14  8], [6 2 6], [22.654804 16.014313 33.126953], 3
9, 4, [4], [9], [33.037506], 1
4, 8, [8], [4], [33.150936], 1
14, 8, [ 8  6  4 11  3  5], [12 12 12 12 12 14], [-36.98138   -11.966474  -13.670057   -9.542269    3.9039059  33.09355  ], 6
8, 6, [6 8], [4 8], [-9.980583 33.151676], 2
0, 11, [11], [0], [33.108772], 1
3, 9, [ 9  1 11], [7 6 3], [-20.398235  15.918384  33.10706 ], 3
2, 9, [9 8], [5 2], [-10.05624   33.149837], 2
12, 9, [9 8], [12 12], [32.977943 33.21043 ], 2
0, 11, [11], [0], [33.10845], 1
3, 7, [7], [3], [33.143265], 1
0, 16, [16  6], [0 0], [33.028805 33.143394], 2
6, 15, [15  9 15  1  8], [2 7 2 6 6], [-30.632154   -1.1696568   4.6291003  20.932434   33.12671  ], 5
11, 1, [1], [11], [33.036396], 1
10, 2, [2], [10], [33.12117], 1
8, 8, [8], [8], [33.15158], 1
14, 12, [12  8  7  2], [ 7 12 12 14], [-27.86023     3.4769766  12.140855   33.281616 ], 4
2, 2, [2], [2], [33.145157], 1
13, 16, [16], [13], [33.124073], 1
5, 1, [1 7], [6 5], [-10.0602    33.145493], 2
7, 11, [11  8], [7 7], [33.044388 33.192493], 2
10, 4, [4], [10], [33.049904], 1
14, 1, [1 2], [12 14], [-9.985838 33.28103 ], 2
3, 16, [16  8], [2 3], [-9.9793625 33.18645  ], 2
11, 2, [2], [11], [33.12384], 1

12, 16, [16], [12], [33.126183], 1
1, 3, [3], [1], [33.043976], 1
5, 12, [12  9 16], [6 5 5], [-12.605551  28.91813   33.10608 ], 3
1, 5, [5], [1], [33.043907], 1
6, 3, [ 3 15 16], [6 6 6], [30.406822 28.934633 33.106956], 3
12, 11, [11], [12], [33.120224], 1
2, 15, [15  8], [6 2], [-10.037836  33.149704], 2
14, 11, [11 13  2], [12 12 14], [-20.187216  16.162415  33.27702 ], 3
8, 7, [7], [8], [33.15563], 1
7, 4, [4 7], [5 7], [-10.068228  33.14733 ], 2
2, 15, [15 14], [2 2], [32.95268  33.137444], 2
3, 13, [13], [3], [33.153915], 1
0, 5, [ 5 15 16], [7 0 0], [-12.590897  28.944843  33.115067], 3
4, 10, [10 13], [4 4], [32.976364 33.154316], 2
0, 5, [ 5 14 15 14  8 14 11], [6 3 0 3 0 3 0], [-3.3362324e+01 -5.6746755e+00 -3.0496774e+00 -1.3547309e+01
 -2.8374004e+00  1.9950867e-02  3.3108032e+01], 7
0, 8, [ 8 10  6], [0 6 0], [22.728558 15.963249 33.144394], 3
3, 2, [ 2 14], [6 3], [-9.962219 33.1569  ], 2
8, 16, [16 13], [8 8], [33.05306 33.16574], 2
3, 4, [ 4 14], [5 3], [-10.062565  33.1569  ], 2
10, 11, [11], [10], [33.12601], 1
4, 4, [4 7], [4 4], [32.931316 33.14722 ], 2
5, 2, [2 7], [5 5], [33.028618 33.145546], 2
8, 4, [4 7], [4 8], [-10.063635  33.155685], 2
9, 13, [13], [9], [33.15583], 1
7, 12, [12 14], [0 7], [-10.045635  33.184685], 2
13, 9, [9], [13], [33.04563], 1
7, 3, [3 6 8], [6 5 7], [-20.309885  16.073322  33.1967  ], 3
11, 5, [5 6], [ 9 11], [-10.078705  33.145515], 2
6, 13, [13], [6], [33.15181], 1
7, 9, [ 9 13  8], [7 0 7], [22.693287 16.07264  33.190113], 3
5, 4, [ 4 16], [5 5], [32.90692 33.1059 ], 2
4, 16, [16  7], [4 4], [33.025215 33.146744], 2

3, 13, [13], [3], [33.153915], 1
2, 11, [11], [2], [33.108513], 1
5, 14, [14], [5], [33.14705], 1
12, 15, [15 13], [13 12], [-10.028805  33.201363], 2
13, 12, [12], [13], [33.042465], 1
6, 13, [13  8], [6 6], [33.032013 33.126614], 2
10, 4, [4], [10], [33.0499], 1
4, 15, [15  6 14 13], [4 4 8 4], [22.874031 16.35821  12.050867 33.156376], 4
1, 15, [15], [1], [33.0644], 1
8, 14, [14], [8], [33.165016], 1
12, 2, [2], [12], [33.141273], 1
10, 15, [15], [10], [33.04915], 1
10, 13, [13], [10], [33.196644], 1
10, 6, [6 8], [ 1 10], [-9.970123 33.13418 ], 2
14, 9, [ 9  7 13  2], [ 5 12 14 14], [-23.183897  11.26688   25.161942  33.284492], 4
3, 7, [7], [3], [33.14367], 1
14, 11, [11 14 16 15  9], [12 12 12 12 14], [-33.30468    -5.7007723  -3.1055489   7.941763   33.107376 ], 5
3, 15, [15 13], [3 3], [32.965538 33.153847], 2
7, 6, [6 8], [0 7], [-9.937099 33.196102], 2
1, 16, [16  6], [14  1], [-9.977568 33.145306], 2
2, 8, [8], [2], [33.150764], 1
5, 16, [16 11], [9 5], [-10.007269  33.107693], 2
2, 10, [10 11], [5 2], [-10.057722  33.108284], 2
0, 5, [ 5 14], [6 0], [-10.064896  33.1548  ], 2
8, 6, [6], [8], [33.11383], 1
11, 15, [15], [11], [33.04836], 1
1, 10, [10], [1], [33.07585], 1
2, 6, [6], [2], [33.146244], 1
14, 1, [1 8 2], [ 5 14 14], [-12.4650135  29.140581   33.269794 ], 3
1, 12, [12], [1], [33.043808], 1
8, 9, [ 9 13], [4 8], [-10.04809   33.165367], 2
5, 15, [15 10], [9 5], [-10.101835  33.075954], 2

